Geographic;City;share_white;share_black;share_native_american;share_asian;share_hispanic
OR;Adrian city;89.8;0;0.6;1.1;27.1
TX;Adrian city;90.4;2.4;0;3;9.6
MI;Advance CDP;98.5;0;0.9;0.3;0
NC;Advance CDP;94.5;2.2;0.9;0.1;1.9
MO;Advance city;98.7;0.1;0.3;0.1;0.7
IN;Advance town;97.1;0.4;0.2;0.6;0.8
VA;Adwolf CDP;96.8;1.1;0.1;0.3;2
CO;Aetna Estates CDP;77.9;2.6;2.2;0.7;31.3
MO;Affton CDP;94.4;1.7;0.2;2.1;2.1
IA;Afton city;98.6;0;0.5;0.1;0.9
MN;Afton city;93.3;0.7;0.4;4.3;1.7
OK;Afton town;71;0.2;17.7;0.6;3.1
WY;Afton town;94.1;0.2;0.7;0.2;4.2
NY;Afton village;98.3;0.2;0;0.7;3.6
SD;Agar town;98.7;0;0;0;1.3
MA;Agawam Town city;94.6;1.5;0.2;1.8;3.3
IA;Agency city;97.6;0;1.3;0;2.4
MO;Agency village;96.6;0.3;0;0.9;2.9
SD;Agency Village CDP;6.1;0.6;89.5;0;2.2
KS;Agenda city;97.1;0;0;0;0
CA;Agoura Hills city;84.3;1.3;0.3;7.5;9.5
KS;Agra city;95.1;0.4;1.9;0.4;2.2
OK;Agra town;86.1;0.3;4.4;0;2.1
CA;Agua Dulce CDP;85.4;1.8;0.7;2.3;18.3
TX;Agua Dulce CDP;81.9;0.1;0.2;0;99.2
TX;Agua Dulce city;84.2;1.5;0.1;0.6;74.9
NM;Agua Fria CDP;69.4;0.4;1.6;0.5;79.3
CA;Aguanga CDP;82.4;1;1.8;2.1;24.3
AZ;Aguila CDP;64.7;1;3.6;0.4;69.4
CO;Aguilar town;80.3;0.2;4.6;0;46.1
TX;Aguilares CDP;90.5;4.8;0;0;85.7
MI;Ahmeek village;99.3;0;0.7;0;0
NC;Ahoskie town;28.5;66.6;1.5;1.3;1.6
WA;Ahtanum CDP;88.1;0.2;1.3;0.6;14.1
HI;Ahuimanu CDP;22;0.7;0.1;31.1;9.4
CA;Ahwahnee CDP;91.9;0.3;1.3;0.7;8.7
HI;Aiea CDP;15;0.7;0.1;57.7;6.2
SC;Aiken city;66.8;28.5;0.4;1.9;2.6
GA;Ailey city;63;34.3;0;0.2;3.7
HI;Ainaloa CDP;28.8;0.6;0.5;14.4;19
IA;Ainsworth city;92.1;0.9;0;0;20.6
NE;Ainsworth city;97.9;0.1;0.3;0.2;1.2
CO;Air Force Academy CDP;79.9;5.9;0.4;3.9;11.2
NY;Airmont village;86.3;4.6;0.3;5;8.2
CA;Airport CDP;56.4;2.1;2.4;3.4;63.6
MO;Airport Drive village;95.7;0;1.7;0.6;3.4
TX;Airport Heights CDP;99.4;0;0;0;99.4
TX;Airport Road Addition CDP;77.4;0;0;0;88.2
WA;Airway Heights city;78.5;7.2;3.7;3.5;8.3
MN;Aitkin city;95.5;0.8;1.5;0.3;1.2
AZ;Ajo CDP;75.1;0.9;9.9;1.1;38.3
AZ;Ak Chin CDP;0;0;100;0;3.3
SD;Akaska town;100;0;0;0;0
AZ;Ak-Chin Village CDP;2.7;0.6;75.4;0;27.5
MN;Akeley city;94.9;0.2;2.1;0.9;1.2
AK;Akhiok city;8.5;1.4;50.7;1.4;11.3
AK;Akiachak CDP;3.5;0.2;95.1;0.2;0.2
AK;Akiak city;5.2;0;92.8;0;0.3
OK;Akins CDP;72.2;0.4;21.9;0;0.4
PA;Akron borough;94.7;1.2;0.2;1.5;3.9
IA;Akron city;97.4;0.4;0.6;0.1;0.5
OH;Akron city;62.2;31.5;0.2;2.1;2.1
AL;Akron town;13.2;86.5;0;0;0.3
CO;Akron town;96.1;1.5;0.1;0.2;9.6
IN;Akron town;74.2;0;1.9;0;30.1
MI;Akron village;96.3;0;0.2;0;6.2
NY;Akron village;96.3;0.5;1.5;0.3;1.3
AK;Akutan city;23.3;17.9;5.5;43.3;20.8
AL;Alabaster city;79.4;13.5;0.4;0.9;9
FL;Alachua city;72;21.4;0.4;2.2;6.9
FL;Alafaya CDP;71.5;10.4;0.3;6.8;32.6
AK;Alakanuk city;2.1;0;95;0.4;0
NC;Alamance village;94.8;2.9;0.2;1.1;1.3
CA;Alameda city;50.8;6.4;0.6;31.2;11
NM;Alamillo CDP;98;0;0;0;28.4
CA;Alamo CDP;86.9;0.5;0.1;8.2;5.8
NV;Alamo CDP;93.1;0.2;0.5;0.5;5.6
NM;Alamo CDP;2.5;0;95.4;0.6;3
ND;Alamo city;86;0;0;0;12.3
TX;Alamo city;87;0.5;0.3;0.1;84.6
TX;Alamo Heights city;94.4;0.7;0.4;1.4;16.3
AZ;Alamo Lake CDP;100;0;0;0;0
GA;Alamo town;40.9;57.7;0;0.1;4.3
IN;Alamo town;89.4;0;3;0;6.1
TN;Alamo town;72.3;15.8;0;0.1;11.9
NM;Alamogordo city;76.8;5.4;1.4;1.7;30.5
CO;Alamosa city;69.8;1.7;3.2;1.2;53.2
CO;Alamosa East CDP;72.7;0.2;2.5;0.9;54.1
MI;Alanson village;92.4;0;5;0.3;1.4
GA;Alapaha town;36.2;61.5;0.1;0.1;3.4
AK;Alatna CDP;2.7;0;97.3;0;0
PA;Alba borough;97.5;1.9;0;0;2.5
MI;Alba CDP;96.6;0.7;0.7;0;6.1
MO;Alba city;94.4;0.7;1.8;0;2.3
TX;Alba town;91.5;0.4;2;0;7.3
OK;Albany CDP;83.9;0;8.4;0;6.3
WY;Albany CDP;96.4;0;0;1.8;0
CA;Albany city;54.6;3.5;0.5;31.2;10.2
GA;Albany city;25.2;71.6;0.2;0.8;2.1
KY;Albany city;93;0.2;0.1;0.1;6.2
MN;Albany city;97.6;0.2;0.2;0.2;0.9
MO;Albany city;98.2;0.5;0.3;0.5;0.6
NY;Albany city;57;30.8;0.3;5;8.6
OR;Albany city;87.8;0.7;1.2;1.4;11.4
TX;Albany city;93.3;0.4;0.7;0.1;10.5
IN;Albany town;97.2;0.6;0;0.2;1.1
IL;Albany village;98.3;0.1;0.2;0.3;2.2
LA;Albany village;95;3.9;0.2;0.1;1.9
OH;Albany village;98.3;0.1;0.1;0.7;1.6
VT;Albany village;93.8;3.6;1;0.5;0
WI;Albany village;96.5;0.5;0;0.7;2.4
SD;Albee town;100;0;0;0;0
NC;Albemarle city;70.1;22.4;0.3;2.9;4.5
IL;Albers village;95.7;0.2;0.2;0.1;4.5
KS;Albert city;96.6;0;0.6;0;4.6
IA;Albert City city;98;0.1;0;0.1;3
MN;Albert Lea city;90;1.1;0.3;1.1;13.2
MN;Alberta city;100;0;0;0;0
VA;Alberta town;59.4;37.6;1.3;0;0.3
MT;Alberton town;96;1;0.7;0;1.9
NY;Albertson CDP;70.4;0.3;0.1;24.3;7.3
AL;Albertville city;75.9;1.9;0.8;0.5;27.9
MN;Albertville city;91.6;2.5;0.3;3;2.8
IA;Albia city;97.5;0.3;0.2;0.3;1.9
WY;Albin town;93.9;0;0.6;0.6;34.3
PA;Albion borough;96.6;0.9;0.3;0.1;1.8
CA;Albion CDP;89.3;0.6;2.4;3;2.4
ID;Albion city;96.3;0;0;0;4.5
IL;Albion city;97.6;0.3;0.1;0.3;1.4
IA;Albion city;97.8;0.2;0;0;1.8
MI;Albion city;63.6;29.9;0.3;1.1;5.8
NE;Albion city;98.4;0.2;0.5;0.2;1.8
IN;Albion town;97.4;0.4;0.2;0.4;3.2
OK;Albion town;60.4;0.9;22.6;0;0.9
WA;Albion town;92.4;0.7;0.5;1;3.1
NY;Albion village;83.7;9.2;0.5;0.7;6.3
WV;Albright town;97.3;0.3;1;0;0
PA;Albrightsville CDP;94.6;2.5;0;1;6.9
NM;Albuquerque city;69.7;3.3;4.6;2.6;46.7
VT;Alburg village;87.7;0.4;2.8;0;1.8
IA;Alburnett city;98.1;0;0.4;0;1.2
PA;Alburtis borough;93;2;0.1;1.3;5.5
NM;Alcalde CDP;20.4;0;3.9;0.4;91.6
AK;Alcan Border CDP;90.9;0;0;0;9.1
SD;Alcester city;97.4;0.1;0.2;0.7;1.5
TN;Alcoa city;79.1;14;0.2;0.5;6.8
SC;Alcolu CDP;45.2;52;0;0.7;3.3
MS;Alcorn State University CDP;1.9;94.6;0.1;1.2;1.9
WY;Alcova CDP;90.8;0;0;0;11.8
NE;Alda village;85.2;0.9;0;0;16
PA;Aldan borough;76.3;18.5;0.1;2.6;2.1
MI;Alden CDP;99.2;0;0;0;1.6
IA;Alden city;97.5;0.5;0.1;0.3;1.1
KS;Alden city;94.6;0;0;0.7;1.4
MN;Alden city;96.7;0;0.5;0;3.9
NY;Alden village;97.4;0.5;0.3;1.2;0.5
MT;Alder CDP;99;0;0;1;1
WA;Alder CDP;94.7;0.9;1.8;0.4;3.5
CA;Alderpoint CDP;91.4;0;4.8;0.5;5.4
OK;Alderson town;67.4;3.3;19.7;0.3;3.3
WV;Alderson town;91;5;0.3;0.3;2.9
WA;Alderton CDP;87.7;0.7;1.2;2.2;7.2
WA;Alderwood Manor CDP;68.7;4.1;0.8;17.7;6.8
TX;Aldine CDP;58.7;2.9;1;2;82.1
GA;Aldora town;82.5;9.7;1.9;0;6.8
MN;Aldrich city;100;0;0;0;0
MO;Aldrich village;96.3;0;1.3;0;2.5
IL;Aledo city;98.5;0.6;0;0.3;1.2
TX;Aledo city;95.4;0.1;0.6;1;8.5
AK;Aleknagik city;15.1;0;75.8;0;0
AK;Aleneva CDP;100;0;0;0;0
OK;Alex town;86.2;0.2;8.4;0;3.6
AR;Alexander city;68;13.1;0.6;0.6;19.4
IA;Alexander city;96;0;0.6;0;6.9
KS;Alexander city;100;0;0;0;0
ND;Alexander city;91.5;1.8;4.9;0;4.9
AL;Alexander City city;62.2;32;0.2;0.9;4.8
NY;Alexander village;97.1;0.2;0;1.2;1.2
NY;Alexandria Bay village;96.7;0.9;0.2;0.6;2.8
PA;Alexandria borough;98.6;0.3;0;0.3;1.4
AL;Alexandria CDP;87.4;10.2;0.3;0.5;0.9
IN;Alexandria city;97.4;0.3;0.1;0.2;1.7
KY;Alexandria city;97.3;0.6;0.1;0.7;1
LA;Alexandria city;38.3;57.3;0.4;1.8;1.8
MN;Alexandria city;96.3;0.8;0.4;0.7;1.5
MO;Alexandria city;96.9;0.6;0;0;0
SD;Alexandria city;98.5;0;0;0.5;1.6
VA;Alexandria city;60.9;21.8;0.4;6;16.1
TN;Alexandria town;93.4;4.1;0.4;0.2;1.1
NE;Alexandria village;93.8;0;0.6;0;2.3
OH;Alexandria village;98.5;0;0.6;0;1.2
IL;Alexis village;99;0.4;0.2;0;0.8
PA;Alfarata CDP;99.3;0;0.7;0;0
FL;Alford town;93;2;0.8;0.8;4.1
IN;Alfordsville town;99;0;0;0;0
TX;Alfred CDP;64.8;0;0;0;86.8
NY;Alfred village;84.2;7.1;0.2;4.6;4.4
WA;Alger CDP;88.8;0;2.2;1.7;8.4
OH;Alger village;97.2;0.2;0.5;0.1;1.2
NM;Algodones CDP;49.5;0.4;13.9;0.9;62.9
WI;Algoma city;95.1;0.9;0.6;0.3;2.9
MS;Algoma town;78.8;18.1;0;0;1.9
IA;Algona city;97.2;0.5;0.1;0.7;1.4
WA;Algona city;67.1;3.3;1.7;11.7;15.9
MI;Algonac city;97.1;0.3;0.7;0.1;1.3
MD;Algonquin CDP;95;2.3;0.7;0.3;1.6
IL;Algonquin village;87.2;1.7;0.2;7.3;6.8
TN;Algood city;92.8;3.3;0.2;0.8;2.5
