Geographic;City;share_white;share_black;share_native_american;share_asian;share_hispanic
TX;Brownfield city;79.6;6;0.7;0.2;51.9
LA;Brownfields CDP;24.9;72.5;0.3;0.6;1.4
MO;Browning city;96.2;0.4;0.4;0;6.8
MT;Browning town;5.5;0;92.7;0;3.7
IL;Browning village;100;0;0;0;3.6
MO;Brownington town;95.3;0;2.8;0;0
NE;Brownlee CDP;100;0;0;0;0
MI;Brownlee Park CDP;91.2;2.1;0.6;0.4;5.5
WI;Browns Lake CDP;97.2;0.3;0.5;0.5;3.7
NJ;Browns Mills CDP;66.4;20.7;0.5;3.5;11.9
WA;Browns Point CDP;88.7;1.5;1.2;3;4.1
MN;Browns Valley city;75.2;0;21.4;0.5;2.7
IL;Browns village;97;0.7;0;0.7;0
TX;Brownsboro city;83;2.9;0.3;0;15.6
KY;Brownsboro Farm city;94.8;2;0;1.7;1.2
KY;Brownsboro Village city;97.5;0.6;0;0.3;0.6
IN;Brownsburg town;93.4;2.2;0.1;1.6;3
FL;Brownsdale CDP;97;0.2;1.5;0;1.9
MN;Brownsdale city;98.1;0.1;0;0;5.5
PA;Brownstown borough;99.3;0.1;0;0.1;0.7
PA;Brownstown CDP;94.6;0.4;0;2.5;3.2
IN;Brownstown town;98.3;0.1;0.3;0.2;1
IL;Brownstown village;98.6;0;0.3;0;1.2
PA;Brownsville borough;81.4;13.5;0.1;0.1;0.6
FL;Brownsville CDP;19.8;74.7;0.3;0;25.7
LA;Brownsville CDP;69.5;25.3;0.4;0.2;4.7
MD;Brownsville CDP;97.8;0;0;0;0
OH;Brownsville CDP;96.8;0.9;0;0;0
KY;Brownsville city;97.5;1.1;0;0.1;0.6
MN;Brownsville city;99.1;0;0;0;0.9
OR;Brownsville city;93.8;0.3;1.2;0.5;4.1
TN;Brownsville city;30.9;64.7;0.2;0.1;4.7
TX;Brownsville city;88;0.4;0.4;0.7;93.2
WI;Brownsville village;98.6;0.3;0.3;0.3;0.5
MN;Brownton city;97;0.1;0.3;0.8;7
PA;Browntown CDP;98.4;0.4;0.1;0;1.5
WI;Browntown village;95.7;0.7;0.4;0;1.8
NJ;Brownville CDP;80.2;5;0;10.1;11.2
NE;Brownville village;97.7;0;0.8;0;3
NY;Brownville village;97.6;0.4;0.3;0.7;1.3
TX;Brownwood city;82.8;5;0.5;0.5;25.9
GA;Broxton city;51.2;42.6;0.2;0.5;9.5
SD;Bruce city;95.6;0;1.5;0.5;0.5
MS;Bruce town;49.4;47.2;0.1;0.2;3.3
WI;Bruce village;99.1;0;0;0;1
WV;Bruceton Mills town;100;0;0;0;0
TN;Bruceton town;94;3;0.3;0.1;2.6
IN;Bruceville town;95.6;0.2;0.4;1;2.1
TX;Bruceville-Eddy city;91;1.9;0.3;0.3;12.8
PA;Bruin borough;98.5;0;0.8;0.4;1.9
WI;Brule CDP;95.3;0;0.4;0;0
NE;Brule village;98.5;0.3;0;0;5.5
MO;Brumley town;78;6.6;4.4;0;5.5
TX;Brundage CDP;100;0;0;0;25.9
AL;Brundidge city;34.1;62.9;0.5;0.6;3
TX;Bruni CDP;83.4;0;0.3;0;89.4
NE;Bruning village;100;0;0;0;0.7
WV;Bruno CDP;97.6;0;0;0;0
MN;Bruno city;92.2;1;4.9;0;0
NE;Bruno village;97;0;1;1;5.1
SC;Brunson town;56.5;42.1;0.2;0;0.9
IA;Brunsville city;100;0;0;0;0.7
ME;Brunswick CDP;92.9;1.5;0.3;2.5;2.8
GA;Brunswick city;31.4;59.2;0.3;0.6;11.3
MD;Brunswick city;86.3;7.5;0.2;1.7;4.9
MO;Brunswick city;88.8;9.1;0.1;0;0.2
OH;Brunswick city;95.5;1.2;0.1;1.2;2.3
ME;Brunswick Station CDP;78;9.9;0;2.9;11.2
NC;Brunswick town;34.6;56.3;3.4;0.4;5.5
NE;Brunswick village;100;0;0;0;0
CO;Brush city;80.2;1.3;1.5;0.4;36.2
OK;Brush Creek CDP;48.6;0;48.6;0;0
WV;Brush Fork CDP;94.9;3.1;0;0.6;1
WA;Brush Prairie CDP;94.8;0.6;0.7;1.1;3.6
NY;Brushton village;96.8;0;1.5;0;0.6
OK;Brushy CDP;58.2;0.2;30.8;0;2.9
TX;Brushy Creek CDP;77.7;4.1;0.5;12;13.1
LA;Brusly town;74.3;23.8;0.1;0.2;2.5
IL;Brussels village;97.9;0;0;0;2.1
MI;Brutus CDP;95.4;0;2.3;0.5;0
OH;Bryan city;94.3;0.6;0.2;0.9;5.1
TX;Bryan city;64.2;18;0.6;1.7;36.2
MD;Bryans Road CDP;34;56.9;1;3;3.8
WA;Bryant CDP;94.4;0.2;1.8;0.9;2.8
AR;Bryant city;87;6.7;0.4;1.6;4.7
SD;Bryant city;99.6;0;0;0;0.4
IN;Bryant town;97.2;0.4;0.8;0.8;2.4
IL;Bryant village;99.1;0;0.5;0;0.5
MD;Bryantown CDP;73.7;23.1;0.8;0.6;2
UT;Bryce Canyon City town;62.6;0.5;4.5;18.7;24.2
AZ;Bryce CDP;83.4;0;8;0;17.7
LA;Bryceland village;75.9;11.1;0.9;0;10.2
PA;Bryn Athyn borough;92.5;2.7;0;2.5;1.2
PA;Bryn Mawr CDP;74;10.5;0;10.7;4.9
WA;Bryn Mawr-Skyway CDP;29.6;31.4;0.8;27.1;7.7
TX;Bryson city;90.7;1.3;0.6;0;9.5
NC;Bryson City town;89.5;0.5;4.8;0.6;5.4
GA;Buchanan city;88;8;0.2;0.4;3.2
MI;Buchanan city;86.6;7.5;1.2;0.3;3.3
ND;Buchanan city;100;0;0;0;0
TX;Buchanan Dam CDP;96;0.2;0.2;0.4;6.3
TX;Buchanan Lake Village CDP;98.4;0.1;0.1;0.4;2.3
VA;Buchanan town;93.5;3.1;0.2;0.2;0.8
NY;Buchanan village;90.2;3.1;0;1.5;16
OH;Buchtel village;97.8;1.1;0;0;1.1
IN;Buck Creek CDP;100;0;0;0;0
IA;Buck Grove city;100;0;0;0;0
CA;Buck Meadows CDP;74.2;0;0;0;22.6
PA;Buck Run CDP;100;0;0;0;0
MS;Buckatunna CDP;49;50.2;0;0;1.2
IA;Buckeye city;100;0;0;0;0
OH;Buckeye Lake village;96.6;0.8;0.3;0.3;0.9
AZ;Buckeye town;65.7;7.1;1.8;1.8;38.3
MD;Buckeystown CDP;95.8;1;0.3;1.3;2.7
VA;Buckhall CDP;77.1;8.6;0.6;7.2;10.2
WV;Buckhannon city;94.5;2.1;0.2;0.9;2.5
FL;Buckhead Ridge CDP;97.8;0.6;0.7;0.1;2.1
GA;Buckhead town;77.8;21.6;0;0;1.2
TX;Buckholts town;75.1;1.4;2.7;0;45
CA;Buckhorn CDP;93;0.4;1.5;1;6.9
NM;Buckhorn CDP;92;0;2;0;8
PA;Buckhorn CDP;94;0.9;0;3.5;2.8
KY;Buckhorn city;94.4;2.5;1.2;0;2.5
FL;Buckingham CDP;91.5;3.5;0.1;0.5;10.1
VA;Buckingham Courthouse CDP;66.2;30.1;0;0;0
IL;Buckingham village;99;0;0;0;0.7
AK;Buckland city;2.6;0;95.4;0;0
OH;Buckland village;98.7;0;0;0.4;2.1
WA;Buckley city;93;0.6;0.8;0.8;3.1
IL;Buckley village;98.7;0;0.2;0;3.2
MI;Buckley village;95.3;0.7;0.9;0.1;2
KS;Bucklin city;93.3;1.9;0.9;0.3;4
MO;Bucklin city;99.4;0;0.2;0;1.9
MN;Buckman city;98.9;1.1;0;0;2.6
KY;Buckner CDP;82.6;13.7;0.6;0.6;2.7
AR;Buckner city;45.1;51.6;0.4;1.5;2.2
MO;Buckner city;95.6;0.4;0.4;0.1;3.4
IL;Buckner village;98.3;0;0.6;0;2.2
AL;Bucks CDP;59.4;31.3;3.1;0;3.1
CA;Bucks Lake CDP;70;0;0;10;30
AZ;Buckshot CDP;92.2;0.7;3.3;0;29.4
ME;Bucksport CDP;96.7;0.5;0.4;0.3;1.5
SC;Bucksport CDP;8;90.2;0;0;1.9
WA;Bucoda town;91.6;1.2;0.9;0.5;5.7
KS;Bucyrus CDP;92.7;1;0;2.1;3.6
ND;Bucyrus city;100;0;0;0;0
OH;Bucyrus city;96.3;1.1;0.2;0.7;1.6
WV;Bud CDP;95.1;2.7;0.4;0;1.2
TX;Buda city;84.5;2.9;0.4;1.2;35.4
IL;Buda village;96.3;0.2;0;1.3;1.1
NJ;Budd Lake CDP;80.9;6.4;0.2;7.7;13.1
MS;Bude town;45.2;53.1;0.2;0;1.5
CA;Buellton city;81;0.8;1.6;2.8;30.1
NJ;Buena borough;73.5;9.4;0.7;1.8;29.4
WA;Buena CDP;45.8;0.9;3.1;0.3;81.3
CA;Buena Park city;45.3;3.8;1.1;26.7;39.3
CA;Buena Vista CDP;85.1;0.2;5.4;0;8.2
MI;Buena Vista CDP;17.8;74;0.7;0.3;10.1
TX;Buena Vista CDP;100;0;0;0;100
GA;Buena Vista city;19.2;65.5;0.6;0.4;16.9
VA;Buena Vista city;91;5.2;1.1;0.4;1.5
CO;Buena Vista town;96.1;0.4;0.8;0.3;5
FL;Buenaventura Lakes CDP;61.2;14.2;0.6;2.6;69.6
IN;Buffalo CDP;96.4;0;0.3;0;4.9
KY;Buffalo CDP;94;4.2;0;0.2;2
OH;Buffalo CDP;99;0;0.2;0;0.7
SC;Buffalo CDP;84.6;14.1;0.1;0.2;0.6
IA;Buffalo Center city;96.1;0.6;0.6;0.2;6
IA;Buffalo city;97.2;0.5;0.1;0.2;2.5
KS;Buffalo city;97.8;0;0.9;0;0.9
MN;Buffalo city;95.1;0.8;0.5;0.9;2.8
MO;Buffalo city;95.8;0.3;0.9;0.2;3.2
NY;Buffalo city;50.4;38.6;0.8;3.2;10.5
ND;Buffalo city;92.6;0.5;1.6;0.5;0
TX;Buffalo city;75.5;9.4;0.4;1.1;32.2
WY;Buffalo city;95.5;0.3;1.6;0.7;3.5
WI;Buffalo City city;98.4;0.1;0.2;0.3;0.4
SD;Buffalo Gap town;91.3;0;7.1;0;0.8
TX;Buffalo Gap town;95.7;0.9;0.2;0.2;7.3
IL;Buffalo Grove village;79.8;1;0.2;16;4.9
MN;Buffalo Lake city;93.2;0.3;0.3;0.8;8.3
AK;Buffalo Soapstone CDP;84.1;1.6;3.3;0.5;3.2
TX;Buffalo Springs village;94.5;0;0;0;10.4
OK;Buffalo town;88.4;0.2;0.8;0.2;20.4
SD;Buffalo town;97.3;0;0.9;0;1.5
WV;Buffalo town;97.4;0.5;0.2;0.4;0.7
IL;Buffalo village;98.2;0.4;0.2;0.2;1
PA;Buffington CDP;84.2;14;0;0.3;0.3
OH;Buford CDP;98.9;0.3;0;0.3;0.3
GA;Buford city;65.8;13.8;0.3;2.9;25.5
ID;Buhl city;81.9;0.2;0.7;0.2;24.9
MN;Buhl city;93.7;1.7;2.1;0.4;0.3
KS;Buhler city;98.1;0.1;0.7;0;2.4
NC;Buies Creek CDP;78.3;14.8;0.7;2.2;3.6
PA;Bulger CDP;95.8;0.5;0;0.7;0.7
MO;Bull Creek village;88.7;1.3;0.2;0.7;10.1
OK;Bull Hollow CDP;17.9;0;82.1;0;0
OR;Bull Mountain CDP;81.3;1.5;0.5;10.8;5.4
VA;Bull Run CDP;46.9;20.1;0.6;7.2;36.9
VA;Bull Run Mountain Estates CDP;90.7;3.6;0.2;1.2;7.2
AR;Bull Shoals city;97.5;0.1;0.4;0.3;1.4
IL;Bull Valley village;94.2;0.8;0.1;2.9;4
TX;Bullard town;90.6;3.2;1.1;0.5;7.4
SD;Bullhead CDP;0.3;0;98.9;0;2
AZ;Bullhead City city;81.9;1.3;1.1;1.4;23.7
TN;Bulls Gap town;98;0.3;0;0;0.7
IL;Bulpitt village;97.7;1.8;0.5;0;0.5
TX;Bulverde city;92.2;0.7;0.5;0.6;18.2
TX;Buna CDP;89.1;7.2;0.7;0.4;3.1
MO;Bunceton city;93.5;4.2;0;0;0.8
IL;Buncombe village;98;0;0;0;3.9
WA;Bunk Foss CDP;93.2;0.6;0.8;1;3.7
MO;Bunker city;99.3;0;0.2;0;1
OR;Bunker Hill CDP;85.3;1.5;2.4;0.8;9.8
IL;Bunker Hill city;96.9;1.7;0.1;0.2;0.8
KS;Bunker Hill city;97.9;0;0;1.1;1.1
IN;Bunker Hill town;93.7;1.6;0.8;0.8;2
TX;Bunker Hill Village city;87.7;0.3;0.1;9.7;5.6
NV;Bunkerville CDP;88.8;0.8;1.2;0.2;27.2
LA;Bunkie city;40.1;57.2;0.6;0.5;2
NC;Bunn town;66.6;28.2;0.6;0;10.2
FL;Bunnell city;63.1;31.9;0.6;0.3;5.4
NC;Bunnlevel CDP;50.4;40.9;2.2;0;3.3
LA;Buras CDP;61.7;6.8;2.3;22.2;3.3
CA;Burbank CDP;60.8;2.7;1.3;7.7;50.9
WA;Burbank CDP;89.3;0.8;0.8;0.2;14.7
CA;Burbank city;72.7;2.5;0.5;11.6;24.5
IL;Burbank city;81.7;1.9;0.4;2.5;26.6
OK;Burbank town;70.9;0;24.1;0;0
OH;Burbank village;97.6;1;0.5;0;0.5
NE;Burchard village;100;0;0;0;0
IA;Burchinal CDP;97.5;2.5;0;0;0
KS;Burden city;97.2;0;1.7;0;3.7
KS;Burdett city;99.2;0.4;0.4;0;0.8
NY;Burdett village;96.2;0.9;0.3;0.3;0.9
AR;Burdette town;76.4;20.9;0;0;8.4
IL;Bureau Junction village;94.1;0.9;0.9;0.3;6.5
NC;Burgaw town;53.8;39.6;0.8;0.4;7.2
MO;Burgess town;98.2;0;0;0;5.3
PA;Burgettstown borough;96;1.7;0.1;0.4;1.4
KY;Burgin city;94.4;2.8;0;0;0.8
OH;Burgoon village;95.9;0;0.6;0.6;7
WA;Burien city;63.5;5.9;1.5;9.9;20.7
TX;Burkburnett city;91.2;2.7;1.3;1;8.1
VA;Burke CDP;68.8;6.4;0.3;17.2;12.6
VA;Burke Centre CDP;70.2;5.9;0.3;15.3;12.8
SD;Burke city;94.2;0.2;3.5;0;0.7
TX;Burke city;88.9;3;0.5;0.1;20.2
NY;Burke village;96.7;0;0;0;3.3
KY;Burkesville city;87.8;8.3;0.1;0.5;1.1
IN;Burket town;96.9;0;2.6;0;3.6
OH;Burkettsville village;99.2;0.8;0;0;0.8
VA;Burkeville town;66.4;29.9;0.2;1.4;2.5
MD;Burkittsville town;99.3;0;0;0.7;1.3
NJ;Burleigh CDP;72.7;15.6;0;3.2;13.7
TX;Burleson city;90.6;2.3;0.5;1.1;11.5
WA;Burley CDP;89.8;0.6;0.8;1.1;3.6
ID;Burley city;77.2;0.4;1;0.7;33.4
CA;Burlingame city;67.7;1.2;0.3;20.3;13.8
KS;Burlingame city;97.1;0.1;0.4;0;1.1
PA;Burlington borough;97.4;0;0;0;1.3
KY;Burlington CDP;93;2.8;0.3;1.1;3
MA;Burlington CDP;80.8;3.3;0.2;13.4;2.4
OH;Burlington CDP;88.6;8.4;0.5;0.1;1.3
WV;Burlington CDP;98.9;1.1;0;0;0
CO;Burlington city;83.1;5.2;1;0.5;27.5
IA;Burlington city;88.2;7.2;0.3;0.8;3.1
KS;Burlington city;94.7;1;1;0.9;2.5
NJ;Burlington city;58.9;33;0.2;2;6.5
NC;Burlington city;57.6;28;0.7;2.1;16
ND;Burlington city;94.2;0.1;2.7;0.2;2.1
VT;Burlington city;88.9;3.9;0.3;3.6;2.7
WA;Burlington city;72.1;1.2;1.8;3;31.4
WI;Burlington city;92.8;0.9;0.4;1.1;8.6
MO;Burlington Junction city;99.1;0;0;0;0.9
IN;Burlington town;98.8;0.5;0;0.2;2
OK;Burlington town;91.4;0.7;0.7;0;7.9
WY;Burlington town;91.3;0.3;0;0.3;13.9
IL;Burlington village;98.5;0;0;0.8;4.4
MI;Burlington village;98.1;0;0;0;0
TN;Burlison town;99.1;0;0.2;0;0.7
KY;Burna CDP;98.4;0;0;0;0.4
TX;Burnet city;86.9;5.4;1;0.7;20.1
WI;Burnett CDP;100;0;0;0;2
SC;Burnettown town;78.3;14.2;0.6;0.7;6.4
IN;Burnettsville town;98.3;0.3;0;0.3;0
CA;Burney CDP;85.1;0.4;7.4;0.2;8.4
PA;Burnham borough;98;0.4;0;0.2;1.5
IL;Burnham village;26.1;61.9;0.7;0.5;19.1
KS;Burns city;96.9;1.3;0.4;0;0.9
OR;Burns city;92.2;0.3;2.6;0.7;4.7
IN;Burns City CDP;99.1;0;0;0.9;0.9
OK;Burns Flat town;82.5;2.3;3.5;0.4;11.8
IN;Burns Harbor town;95.4;1.8;0.3;0.3;5.8
TN;Burns town;96.1;1.6;0.3;0;1.8
WY;Burns town;94.7;1;1.3;0;3.7
PA;Burnside borough;100;0;0;0;0.4
AZ;Burnside CDP;5.6;0;93.1;0;1.9
KY;Burnside city;95.3;0.3;0.5;0.8;2
MN;Burnsville city;77.5;10;0.4;5;7.9
MS;Burnsville town;97.3;0.1;0.4;0.1;1.6
NC;Burnsville town;91.6;2.3;0.6;0.1;10.4
WV;Burnsville town;97.3;0;1.2;0;1.2
IL;Burnt Prairie village;92.3;0;3.8;0;1.9
CA;Burnt Ranch CDP;85.8;0;5.3;1.4;6.8
FL;Burnt Store Marina CDP;98.8;0.1;0.1;0.5;1.6
IA;Burr Oak CDP;97;0;0;0.6;2.4
KS;Burr Oak city;98.3;0;0.6;0;1.7
MI;Burr Oak village;96;0.5;0.5;0.7;3.3
IL;Burr Ridge village;80.4;2;0;14.8;4.1
NE;Burr village;100;0;0;0;0
KS;Burrton city;93.9;0.4;1.1;0.1;6.2
MI;Burt CDP;93.4;1.5;0.5;0.1;4.2
IA;Burt city;97.9;0.2;0;0;1.3
SC;Burton CDP;48.1;43.1;0.4;1.3;9.9
MI;Burton city;88.1;7.3;0.6;0.6;3.1
TX;Burton city;82;16.7;0.3;0.3;2
NE;Burton village;100;0;0;0;0
OH;Burton village;97.2;1.2;0.1;0.8;1.3
MD;Burtonsville CDP;33.3;38.3;0.3;20.4;8.9
MN;Burtrum city;98.6;0;0;0;1.4
NE;Burwell city;99.4;0.2;0;0;0.9
MT;Busby CDP;5.8;0.1;92.6;0;4
IL;Bush village;96;2.9;0;0;0
FL;Bushnell city;81.4;12.7;0.9;0.5;8.1
IL;Bushnell city;97.4;0.4;0.3;0;1.3
SD;Bushnell town;90.8;0;7.7;0;0
NE;Bushnell village;96.8;0.8;0;0;3.2
KS;Bushong city;100;0;0;0;0
KS;Bushton city;92.5;2.9;2.5;0;8.2
OK;Bushyhead CDP;69.9;0.5;18;0.4;4.4
IA;Bussey city;98.3;0;0.7;0.2;2.1
NY;Busti CDP;95.4;1;1.3;0.8;0.8
FL;Butler Beach CDP;97.4;0.6;0.2;0.8;2.2
NJ;Butler borough;89;1.1;0.2;3;11.4
OK;Butler CDP;41;0;44.4;0.9;6
GA;Butler city;46.8;51.4;0;0.8;2
IN;Butler city;94.9;0.5;0.4;0.2;4.3
KY;Butler city;94.6;0;0.2;0;1.1
MO;Butler city;94.5;2.7;0.5;0.2;2.3
PA;Butler city;93.6;2.7;0.2;0.5;2.4
AL;Butler town;71.4;26.7;0.2;0.2;0.7
OK;Butler town;92;0.3;3.1;0;8.7
SD;Butler town;100;0;0;0;0
IL;Butler village;99.4;0;0;0;0
OH;Butler village;98.3;0.4;0.1;0.1;1.5
WI;Butler village;92.2;3;0.7;1.2;4.8
MD;Butlertown CDP;38.2;57.8;0;0.4;1
IN;Butlerville CDP;98.2;0;0.4;0.7;1.1
OH;Butlerville village;99.4;0.6;0;0;0.6
NC;Butner town;59.5;30.1;0.7;0.9;14.7
AK;Butte CDP;90.4;0.3;4.3;0.6;3.1
ND;Butte city;100;0;0;0;0
ID;Butte City city;86.5;2.7;4.1;0;13.5
CA;Butte Creek Canyon CDP;93.1;0;1.8;1.7;4.4
WI;Butte des Morts CDP;98.3;0.5;0.1;0.2;1
OR;Butte Falls town;95.7;0;0.7;0.5;2.4
CA;Butte Meadows CDP;95;0;0;0;0
CA;Butte Valley CDP;87;0;2.1;1;9.9
NE;Butte village;96;0;1.2;2.5;0.9
TX;Butterfield CDP;93;0;0;0;93
MN;Butterfield city;72.7;0.9;0.2;7.3;25.6
MO;Butterfield village;79.4;0.2;1.7;1.9;26.8
WI;Butternut village;94.1;0;2.7;0;1.1
NC;Butters CDP;93.5;4.4;0;0;2.7
MT;Butte-Silver Bow;94.4;0.3;1.9;0.5;3.7
MT;Butte-Silver Bow (balance);94.4;0.3;1.9;0.5;3.7
OR;Butteville CDP;98.9;0.8;0;0;2.3
CA;Buttonwillow CDP;35.4;2.4;0.7;0.7;78.4
NJ;Buttzville CDP;96.6;0;0;0;6.2
NC;Buxton CDP;94.7;0.5;0.2;0;11.5
ND;Buxton city;99.4;0.3;0.3;0;0.9
MA;Buzzards Bay CDP;94.3;1;0.5;1.1;1.4
OK;Byars town;75.3;0;17.6;0;3.9
CO;Byers CDP;90.7;0.9;1.5;0.4;8.5
KS;Byers city;94.3;0;0;0;0
TX;Byers city;94.4;1;2.4;0;1.8
NY;Byersville CDP;93.6;2.1;0;0;0
OH;Byesville village;98.2;0.1;0.2;0.2;0.2
MS;Byhalia town;51.4;44.9;0;0;4
AZ;Bylas CDP;0.4;0;99.2;0;2.9
OK;Byng town;65.8;2.1;23.6;0.3;4.8
MT;Bynum CDP;96.8;0;3.2;0;0
TX;Bynum town;94.5;1;0;0;10.6
CT;Byram CDP;78.1;3.1;0.5;5.9;27.5
NJ;Byram Center CDP;96.7;0;0;0;3.3
MS;Byram city;45.7;52.1;0.2;0.8;1.1
TN;Byrdstown town;98;0.1;0.4;0;2.6
PA;Byrnedale CDP;96;0.2;0;0.5;0
MO;Byrnes Mill city;97.4;0.3;0.5;0.3;1.4
GA;Byromville town;44.3;49.3;0;0.2;13.9
CA;Byron CDP;71.3;4.8;0.9;0.3;39.4
MI;Byron Center CDP;95.6;0.9;0.4;1;2.7
GA;Byron city;65.4;29;0.2;1.8;3.9
IL;Byron city;96.3;0.9;0.1;0.5;2.9
MN;Byron city;96.2;0.7;0.1;1;1.8
OK;Byron town;97.1;0;0;0;8.6
WY;Byron town;97.1;0;0.2;0;12.5
MI;Byron village;95.7;1;1.5;0.2;2.1
NE;Byron village;100;0;0;0;0
CA;Bystrom CDP;50;2;1.5;2.3;76.2
NM;Ca_ada de los Alamos CDP;86.2;0;2.5;1.8;41.9
NM;Ca_on CDP;63.9;0;9.8;0.3;45.3
CO;Ca_on City city;92;1.7;1.7;0.6;9.5
NM;Ca_ones CDP;44.9;5.9;0.8;0;92.4
NM;Caballo CDP;87.5;0;1.8;0;12.5
FL;Cabana Colony CDP;78.9;9.7;0.6;4.2;13.1
CA;Cabazon CDP;69.1;5.3;3.6;1.5;44.8
MI;Caberfae CDP;98.4;0;0;0;0
IL;Cabery village;96.6;0.8;0.4;0;6
MD;Cabin John CDP;83.6;3.7;0.3;8.4;4.6
WI;Cable CDP;99;1;0;0;0
MO;Cabool city;96.4;0.4;0.5;0.6;2.6
AR;Cabot city;93.1;1.6;0.6;1.5;4.1
VT;Cabot village;95.7;0;0.4;0.4;0.4
UT;Cache CDP;100;0;0;0;13.2
OK;Cache city;70.8;2.5;18.6;0.4;6.1
TX;Cactus city;48.2;1;2.8;19.3;74.1
AZ;Cactus Flats CDP;83.5;0.9;2;0.1;29.6
AZ;Cactus Forest CDP;86.7;1.5;4.4;0.2;21.4
TX;Caddo Mills city;90.7;5.2;0.4;0.3;6.7
OK;Caddo town;73.9;0.3;17.1;0.2;1.8
AR;Caddo Valley town;79.2;15.9;0.9;0.3;2.8
LA;Cade CDP;59.5;35.2;0.2;1.9;2.7
MI;Cadillac city;95.6;0.5;0.6;1;1.8
KY;Cadiz city;79.3;17.3;0;0.7;1
IN;Cadiz town;100;0;0;0;2.7
OH;Cadiz village;87.4;8.4;0;0.3;0.8
WI;Cadott village;98.1;0.3;0.1;0.4;0.5
GA;Cadwell town;70.1;29.2;0;0;2.1
IL;Cahokia village;34.3;62.2;0.2;0.2;2
MO;Cainsville city;97.9;0;0.3;0;1
PA;Cairnbrook CDP;99.8;0;0;0;0.2
NY;Cairo CDP;93.1;1.8;0.4;0.8;6.3
GA;Cairo city;40.5;48.2;0.6;0.7;14.4
IL;Cairo city;27.6;69.6;0.2;0.4;0.4
WV;Cairo town;100;0;0;0;0
MO;Cairo village;96.2;0.7;0.7;0.7;0
NE;Cairo village;96.8;0.4;0.3;0;2.4
OH;Cairo village;97.7;0.6;0.2;0.2;1.5
NC;Cajah's Mountain town;95.5;1.6;0.3;0.7;3.1
CA;Calabasas city;83.9;1.6;0.2;8.6;6.4
NC;Calabash town;86.3;5.9;0.4;0;14.5
ME;Calais city;95.5;0.5;1.3;0.6;1.4
IA;Calamus city;95.9;0;0.2;0;1.6
NY;Calcium CDP;73;13.9;0.7;2.1;13.9
OH;Calcutta CDP;97.3;0.4;0.2;0.8;0.7
NJ;Caldwell borough;86.8;3.3;0.1;4.7;10
ID;Caldwell city;77.5;0.6;1.2;0.9;35.4
KS;Caldwell city;95.2;0.8;1.7;0.1;3.1
TX;Caldwell city;74.1;12.7;0.5;0.2;27.6
AR;Caldwell town;79.8;14.6;0.4;0.5;6.1
OH;Caldwell village;97.7;0.2;0.3;0.5;0.1
AR;Cale town;94.9;5.1;0;0;0
ND;Caledonia CDP;100;0;0;0;0
MN;Caledonia city;96.8;1.3;0.3;0.7;0.6
MS;Caledonia town;92.7;4;0.3;0.9;2.4
IL;Caledonia village;94.4;1;0.5;3;3
MI;Caledonia village;96.8;0.7;0.1;0.7;2.7
MO;Caledonia village;100;0;0;0;0.8
NY;Caledonia village;94.1;3.4;0;0.7;1.4
OH;Caledonia village;97.4;1.6;0;0.2;0.5
WI;Caledonia village;91.7;2.8;0.4;1.8;5.3
AL;Calera city;71.2;23;0.2;0.6;5
OK;Calera town;71.1;0.4;16.5;0.7;4.3
CA;Calexico city;60;0.3;0.5;1.3;96.8
CO;Calhan town;93.8;0.5;0.3;1.2;3.5
LA;Calhoun CDP;92.6;5.7;0;0.4;1
GA;Calhoun city;73.3;6.8;0.5;1.7;25
KY;Calhoun city;98.8;0;0.5;0;0.3
MO;Calhoun city;97.7;0.2;0.2;0.6;0.4
MS;Calhoun City town;60.5;37.6;0.2;0.1;1
SC;Calhoun Falls town;44;53.1;0.5;0;1.2
TN;Calhoun town;97.8;0.4;0.4;0;1
IL;Calhoun village;98.3;0;1.7;0;0
AR;Calico Rock city;87.9;9.4;0.3;0.4;2.7
NV;Caliente city;84.5;3.9;2.4;0.9;8.8
NJ;Califon borough;96.1;0.3;0.1;0.8;1.3
PA;California borough;91;6.6;0.2;0.5;1.5
MD;California CDP;70.7;18.3;0.5;4.6;5.7
KY;California city;92.2;3.3;0;1.1;1.1
MO;California city;91.3;0.8;0.3;0.5;10.4
CA;California City city;65.1;15.2;0.9;2.6;38.1
CA;California Hot Springs CDP;91.9;0;0;2.7;8.1
IA;California Junction CDP;98.8;0;0;0;4.7
CA;California Pines CDP;80;2.1;3.1;1.2;16
CA;Calimesa city;86;1.1;1.3;1.3;22.4
ND;Calio city;100;0;0;0;0
AR;Calion city;72.3;24.7;0.4;0;2
CA;Calipatria city;41.7;20.9;1;1.2;64.1
CA;Calistoga city;72.5;0.5;0.4;0.9;49.4
VA;Callaghan CDP;90.5;8.6;0;0;0.9
FL;Callahan town;89.3;7;0.3;0.9;2.4
MO;Callao city;96.2;1;0.3;0;1.4
FL;Callaway city;71.1;18.2;0.7;4.1;5.9
MN;Callaway city;50.9;0.9;35.9;0;1.7
NE;Callaway village;98.3;0;0.2;0.4;1.5
CA;Callender CDP;79.5;0.6;1.7;3.8;28.1
IA;Callender city;98.7;0.3;0.3;0;0
TX;Callender Lake CDP;94;1.3;0.8;0;5.4
PA;Callensburg borough;99.5;0;0.5;0;1
PA;Callery borough;96.4;0;0;0.5;0.5
