state;City;share_white;share_black;share_native_american;share_asian;share_hispanic;Median_Income;percent_completed_hs;poverty_rate
TN;Adamsville town;95.7;1.3;0.5;0.1;1.7;30392;70.2;24.3
OH;Adamsville village;99.1;0;0;0;0;29792;90.8;37.6
IL;Addieville village;100;0;0;0;0;69375;84.5;5.5
OK;Addington town;81.6;0.9;6.1;1.8;7.9;48750;90.4;16.8
LA;Addis town;69.1;28.4;0.2;0.8;1.8;60063;88.6;17
WV;Addison (Webster;99.2;0.1;0.1;0;0.3;35595;79.8;17.8
PA;Addison borough;98.1;0.5;1;0;0;44375;86.5;8.9
AL;Addison town;99.1;0.1;0;0.1;0.4;37083;81.4;30.7
TX;Addison town;67.7;11.8;0.4;7.4;25.2;67695;94;10
IL;Addison village;67.6;3.9;0.5;7.4;40.1;54928;78.4;15.8
MI;Addison village;97;0.5;0;0;1;41875;93.2;11.9
NY;Addison village;96.9;0.5;0.2;0.7;1.8;49821;92.6;13.5
WA;Addy ;83.6;0.4;5.6;0;3;9167;100;100
OH;Addyston village;89.7;5.7;0.2;0.2;1.9;35781;79.3;16
GA;Adel ;46.9;45.4;0.2;1;7.9;35301;75.9;30.3
IA;Adel ;97.6;0.3;0.2;0.5;2.1;56319;92.2;8.9
CA;Adelanto ;43.8;20.5;1.3;1.9;58.3;33298;67.5;40.3
IL;Adeline village;98.8;0;1.2;0;1.2;50417;84.3;13.3
NM;Adelino ;78.1;1.2;1.3;0.4;62.8;45828;80.6;5.9
WI;Adell village;95.3;0.2;0.2;1.9;3.5;68000;96.1;5.2
MD;Adelphi ;25.4;36.7;1.4;7.8;42.1;66555;78.3;13.2
OH;Adelphi village;95;1.6;0;0.3;0;31641;74.2;32.1
OH;Adena village;97.9;0.3;0;0;0.4;36818;88.7;18.3
CA;Adin ;88.2;0.7;2.9;0;11.8;NA;100;12.6
KS;Admire ;95.5;0;0;0;7.1;36750;93.9;17.2
AR;Adona ;100;0;0;0;1;NA;79.3;18.9
GA;Adrian ;61.1;32.1;0.6;0.3;5;24861;74.3;38.5
MI;Adrian ;84.1;4.4;0.6;0.9;18.8;31805;82.1;29.6
MN;Adrian ;95.3;0.4;0;1.2;4.1;49250;92.5;9.4
MO;Adrian ;98.2;0.2;0.5;0;0.7;37368;84.4;14.8
OR;Adrian ;89.8;0;0.6;1.1;27.1;37083;82.7;14.3
TX;Adrian ;90.4;2.4;0;3;9.6;42500;74.3;18
MI;Advance ;98.5;0;0.9;0.3;0;65179;97.1;2.2
NC;Advance ;94.5;2.2;0.9;0.1;1.9;53750;93.4;14.5
MO;Advance ;98.7;0.1;0.3;0.1;0.7;34423;79.1;14.7
IN;Advance town;97.1;0.4;0.2;0.6;0.8;50625;84.2;24.1
VA;Adwolf ;96.8;1.1;0.1;0.3;2;50391;86.4;12.4
CO;Aetna Estates;77.9;2.6;2.2;0.7;31.3;55150;77.7;26.3
MO;Affton ;94.4;1.7;0.2;2.1;2.1;55946;91.7;8.9
IA;Afton ;98.6;0;0.5;0.1;0.9;42137;88.1;10.1
MN;Afton ;93.3;0.7;0.4;4.3;1.7;99663;97.5;3.8
OK;Afton town;71;0.2;17.7;0.6;3.1;30000;80.3;33.6
WY;Afton town;94.1;0.2;0.7;0.2;4.2;55227;95.2;8.2
NY;Afton village;98.3;0.2;0;0.7;3.6;41042;85.3;18.4
SD;Agar town;98.7;0;0;0;1.3;58000;100;14.1
MA;Agawam Town;94.6;1.5;0.2;1.8;3.3;61494;92.4;8.5
IA;Agency ;97.6;0;1.3;0;2.4;37857;88.7;10.2
MO;Agency village;96.6;0.3;0;0.9;2.9;70750;87.3;14.9
SD;Agency Village;6.1;0.6;89.5;0;2.2;36250;85.7;28.8
KS;Agenda ;97.1;0;0;0;0;27083;95.9;40
CA;Agoura Hills;84.3;1.3;0.3;7.5;9.5;113658;95.1;5.8
KS;Agra ;95.1;0.4;1.9;0.4;2.2;41250;94.4;14.9
OK;Agra town;86.1;0.3;4.4;0;2.1;31250;82.3;27
CA;Agua Dulce;85.4;1.8;0.7;2.3;18.3;99638;96.6;6.4
TX;Agua Dulce;81.9;0.1;0.2;0;99.2;27614;49.6;55.1
TX;Agua Dulce;84.2;1.5;0.1;0.6;74.9;43958;78.1;19.7
NM;Agua Fria;69.4;0.4;1.6;0.5;79.3;30342;77.1;36.4
CA;Aguanga ;82.4;1;1.8;2.1;24.3;43505;81.1;7
AZ;Aguila ;64.7;1;3.6;0.4;69.4;26842;26.1;57.4
CO;Aguilar town;80.3;0.2;4.6;0;46.1;36701;69.8;14.8
TX;Aguilares ;90.5;4.8;0;0;85.7;NA;59.3;0
MI;Ahmeek village;99.3;0;0.7;0;0;19464;78.6;41.3
NC;Ahoskie town;28.5;66.6;1.5;1.3;1.6;25024;76.1;35.6
WA;Ahtanum ;88.1;0.2;1.3;0.6;14.1;50197;78.5;11.2
HI;Ahuimanu ;22;0.7;0.1;31.1;9.4;93341;96.2;11
CA;Ahwahnee ;91.9;0.3;1.3;0.7;8.7;62715;92.5;11.7
HI;Aiea ;15;0.7;0.1;57.7;6.2;95428;93.8;5.9
SC;Aiken ;66.8;28.5;0.4;1.9;2.6;55502;89.5;16.2
GA;Ailey ;63;34.3;0;0.2;3.7;58393;96.1;9.3
HI;Ainaloa ;28.8;0.6;0.5;14.4;19;27402;85.5;32.3
IA;Ainsworth ;92.1;0.9;0;0;20.6;42212;81.2;17.9
NE;Ainsworth ;97.9;0.1;0.3;0.2;1.2;33177;86.7;18.8
CO;Air Force;79.9;5.9;0.4;3.9;11.2;65795;97.9;3.4
NY;Airmont village;86.3;4.6;0.3;5;8.2;91458;89;8.4
CA;Airport ;56.4;2.1;2.4;3.4;63.6;32845;45.9;37.4
MO;Airport Drive;95.7;0;1.7;0.6;3.4;66250;95;5.9
TX;Airport Heights;99.4;0;0;0;99.4;39000;52.8;33.3
TX;Airport Road;77.4;0;0;0;88.2;77667;100;37.8
WA;Airway Heights;78.5;7.2;3.7;3.5;8.3;36351;89.7;24.7
MN;Aitkin ;95.5;0.8;1.5;0.3;1.2;28281;85.5;24.6
AZ;Ajo ;75.1;0.9;9.9;1.1;38.3;32964;80;33.6
AZ;Ak-Chin Village;2.7;0.6;75.4;0;27.5;25197;59.8;54.5
AZ;Ak Chin;0;0;100;0;3.3;NA;100;12.1
SD;Akaska town;100;0;0;0;0;NA;87.1;0
MN;Akeley ;94.9;0.2;2.1;0.9;1.2;42969;93.2;13.1
AK;Akhiok ;8.5;1.4;50.7;1.4;11.3;26250;62.5;40.5
AK;Akiachak ;3.5;0.2;95.1;0.2;0.2;38750;76.7;26.1
AK;Akiak ;5.2;0;92.8;0;0.3;42000;81.3;31.3
OK;Akins ;72.2;0.4;21.9;0;0.4;29770;81.2;29.8
PA;Akron borough;94.7;1.2;0.2;1.5;3.9;54799;85.9;6.5
IA;Akron ;97.4;0.4;0.6;0.1;0.5;41161;87.4;9.7
OH;Akron ;62.2;31.5;0.2;2.1;2.1;34512;86.3;26.5
AL;Akron town;13.2;86.5;0;0;0.3;21667;68.6;42
CO;Akron town;96.1;1.5;0.1;0.2;9.6;40972;87.9;12.6
IN;Akron town;74.2;0;1.9;0;30.1;39531;69.2;17.1
MI;Akron village;96.3;0;0.2;0;6.2;39375;84.8;26.1
NY;Akron village;96.3;0.5;1.5;0.3;1.3;47311;93.7;4.9
AK;Akutan ;23.3;17.9;5.5;43.3;20.8;24750;73;16.1
AL;Alabaster ;79.4;13.5;0.4;0.9;9;71816;89.3;11.2
FL;Alachua ;72;21.4;0.4;2.2;6.9;54048;93.4;14.9
FL;Alafaya ;71.5;10.4;0.3;6.8;32.6;63449;93.9;12.4
AK;Alakanuk ;2.1;0;95;0.4;0;32917;65.4;44.6
NC;Alamance village;94.8;2.9;0.2;1.1;1.3;77885;96.3;1.7
CA;Alameda ;50.8;6.4;0.6;31.2;11;79312;91.3;9.8
NM;Alamillo ;98;0;0;0;28.4;60795;100;42.5
CA;Alamo ;86.9;0.5;0.1;8.2;5.8;165070;98.5;1.9
NV;Alamo ;93.1;0.2;0.5;0.5;5.6;44007;92.3;11.9
NM;Alamo ;2.5;0;95.4;0.6;3;13162;56.2;44.2
ND;Alamo ;86;0;0;0;12.3;75000;86.3;1.4
TX;Alamo ;87;0.5;0.3;0.1;84.6;36079;62.8;30.5
TX;Alamo Heights;94.4;0.7;0.4;1.4;16.3;121086;97.9;5.3
AZ;Alamo Lake;100;0;0;0;0;NA;100;0
GA;Alamo town;40.9;57.7;0;0.1;4.3;27500;70.2;30
IN;Alamo town;89.4;0;3;0;6.1;NA;90.9;17
